Gene,GAE_recon,Infomap,GAE_Silhouette,UMAP_KMeans
hsa:9215,32,6,84,28
hsa:468,42,1,5,1
hsa:2950,23,2,6,157
path:hsa00020,19,4,26,85
hsa:2565,24,1,25,103
hsa:64786,14,5,72,187
hsa:9344,90,1,81,118
hsa:4634,71,1,0,27
hsa:665,53,5,12,75
hsa:84649,53,3,90,138
hsa:6900,23,12,16,235
hsa:51601,90,4,84,210
hsa:86,71,1,47,128
hsa:9073,19,1,11,9
hsa:102725035,25,1,12,29
cpd:C00072,51,1,28,170
hsa:1612,1,1,47,209
cpd:C00809,23,53,84,28
hsa:5058,63,1,74,227
hsa:7201,56,1,82,189
hsa:4684,41,12,16,235
hsa:3065,78,1,72,242
hsa:291,72,1,29,162
hsa:9815,1,1,3,96
hsa:5290,78,1,17,0
hsa:4599,77,1,38,77
hsa:84620,23,6,59,168
hsa:406923,9,1,28,135
cpd:C00159,4,1,38,98
hsa:4651,1,1,29,112
hsa:51060,8,2,6,144
hsa:26007,17,3,55,62
hsa:5327,42,1,70,73
cpd:C00165,23,1,19,193
hsa:23370,71,1,47,182
hsa:412,6,2,27,45
hsa:8772,26,1,39,112
hsa:185,3,1,56,146
hsa:7169,39,1,38,147
hsa:4277,77,1,49,100
hsa:114548,77,1,83,94
hsa:23176,2,5,70,35
hsa:427,2,3,48,119
hsa:6342,6,2,84,44
hsa:999,38,1,38,74
hsa:64115,76,71,72,2
hsa:246,1,3,9,70
hsa:1636,27,1,70,20
hsa:6897,53,3,20,55
hsa:55526,79,4,41,123
path:map00460,65,4,26,42
hsa:9821,71,5,47,147
hsa:3803,88,1,43,91
hsa:3817,23,1,1,229
hsa:58498,23,1,75,56
cpd:C15848,26,1,47,146
cpd:C00698,71,4,33,176
hsa:27250,27,1,38,61
cpd:C05151,90,1,82,149
hsa:6657,71,1,70,129
path:hsa00760,5,4,53,42
hsa:148327,65,1,5,1
hsa:644672,56,1,11,9
hsa:7358,71,2,87,250
hsa:5580,91,1,22,148
path:hsa00740,77,1,8,136
hsa:943,71,76,76,245
hsa:3840,18,52,84,249
hsa:26003,8,5,45,84
hsa:8354,33,1,25,59
hsa:2165,38,1,82,146
hsa:7456,76,1,47,100
cpd:C01194,5,1,77,138
hsa:57505,80,4,60,44
hsa:23770,80,5,84,84
hsa:4607,17,1,28,27
hsa:9252,5,1,74,135
hsa:5631,30,4,32,60
hsa:253314,61,1,29,115
hsa:84254,19,1,10,130
hsa:1277,55,1,0,140
hsa:84735,1,2,41,198
hsa:9577,53,1,49,225
hsa:406922,39,1,49,135
hsa:4068,1,1,38,93
hsa:10891,1,4,80,214
hsa:57551,81,1,81,118
hsa:340156,41,1,10,153
hsa:22798,42,1,28,32
hsa:122481,8,1,37,121
hsa:6448,8,2,49,205
path:hsa00640,78,3,41,135
hsa:1050,17,1,28,163
hsa:2969,77,1,57,196
hsa:6580,48,1,47,26
hsa:4522,42,7,26,139
hsa:808,36,1,85,56
hsa:5315,83,4,41,115
hsa:1991,78,1,12,18
hsa:51166,17,4,41,109
hsa:27091,77,1,75,104
hsa:3708,28,1,22,146
hsa:7529,36,1,89,75
cpd:C00376,32,1,1,37
hsa:3600,61,1,0,36
hsa:1719,79,3,26,38
hsa:339761,29,2,90,199
hsa:1549,29,2,6,158
hsa:4158,6,1,77,117
hsa:23659,23,3,24,5
hsa:572,56,1,34,242
hsa:488,1,1,29,107
hsa:11345,9,5,47,228
hsa:105180391,1,1,1,88
hsa:4685,42,12,16,203
hsa:8417,55,1,72,205
hsa:5423,64,1,89,74
hsa:4731,12,1,33,8
hsa:27071,56,1,0,234
hsa:7023,42,1,12,161
hsa:81873,23,1,31,67
hsa:7098,79,1,68,230
hsa:2561,17,1,25,103
hsa:154810,75,1,12,180
hsa:253558,35,3,9,99
hsa:3112,2,1,43,232
hsa:55844,56,1,58,242
hsa:2914,76,1,56,239
hsa:699,41,1,29,221
hsa:2205,9,1,39,169
hsa:80017,1,4,26,57
hsa:5585,54,1,75,182
hsa:10333,1,1,12,57
hsa:9367,1,5,70,73
hsa:3443,83,1,91,36
hsa:1212,24,22,72,203
hsa:7534,1,1,89,75
hsa:5143,68,1,30,31
hsa:55304,81,3,60,55
hsa:911,56,1,39,12
hsa:1844,1,1,3,15
hsa:959,78,1,83,129
hsa:7448,23,1,79,64
hsa:25920,17,26,49,166
hsa:5156,61,1,81,223
hsa:3656,78,1,39,243
hsa:2550,76,1,25,30
hsa:93100,24,1,30,31
hsa:102800317,78,1,56,161
hsa:10075,58,1,47,218
hsa:1443,1,47,49,231
hsa:51102,2,4,41,123
hsa:79861,88,1,53,6
hsa:4499,42,18,76,86
hsa:3688,28,1,50,172
hsa:815,6,1,10,177
hsa:3572,6,1,46,183
hsa:782,81,1,75,104
hsa:7475,71,1,13,10
hsa:3039,55,54,72,123
hsa:5147,27,1,8,40
hsa:442902,42,1,28,24
hsa:3606,2,1,0,92
hsa:55331,61,3,48,89
hsa:6885,2,1,74,182
hsa:102723849,13,1,70,88
hsa:58476,90,5,16,84
hsa:836,17,1,0,110
path:hsa00190,55,4,84,134
hsa:155,71,1,56,117
cpd:C01715,31,1,70,20
hsa:6319,3,4,1,85
hsa:4773,26,1,75,148
hsa:407041,78,1,69,19
cpd:C14767,28,1,72,88
hsa:1500,6,1,38,74
hsa:112724,77,2,27,199
hsa:64145,2,9,49,226
hsa:60485,17,1,69,16
hsa:2781,8,3,17,80
hsa:2339,17,2,78,54
hsa:83539,77,6,16,124
hsa:9538,8,1,38,66
hsa:277,71,4,43,27
hsa:7436,34,1,3,100
hsa:242,65,3,9,70
hsa:3126,10,1,43,232
hsa:537,17,5,72,53
hsa:84105,69,4,26,188
hsa:10318,82,1,47,24
hsa:2355,48,1,58,217
hsa:59285,4,1,75,104
hsa:375,24,1,29,112
hsa:6340,53,8,76,54
hsa:152,73,1,82,20
hsa:1600,42,1,3,100
hsa:925,76,1,43,93
hsa:475,1,18,76,86
hsa:26100,71,5,47,209
hsa:3442,4,1,91,36
hsa:57704,42,3,48,119
hsa:517,81,5,84,187
hsa:406983,76,1,72,245
hsa:355,79,1,83,159
hsa:64837,73,5,0,73
hsa:152586,64,6,78,114
hsa:4728,8,1,33,8
hsa:375775,18,3,24,5
hsa:2581,23,3,48,119
hsa:7086,5,4,32,60
hsa:5033,13,4,41,83
cpd:C16547,65,1,38,213
hsa:407043,1,1,25,246
hsa:9564,19,1,65,169
hsa:3601,9,1,46,129
hsa:79944,83,4,84,44
hsa:1365,65,1,11,9
hsa:2625,77,1,0,165
hsa:7004,78,1,66,194
hsa:100302282,1,1,25,149
hsa:6772,3,1,74,96
hsa:3932,71,1,83,183
hsa:10434,42,3,24,5
hsa:1909,1,1,86,20
hsa:3067,1,2,41,109
hsa:2057,88,1,46,129
hsa:79465,78,1,84,100
hsa:112755,41,13,70,188
hsa:407006,51,1,38,90
hsa:9080,78,1,11,9
hsa:2678,8,2,6,144
hsa:1846,8,1,3,15
hsa:896,53,1,66,25
hsa:245972,36,5,72,53
hsa:55157,36,4,49,44
hsa:10393,78,1,41,71
hsa:6926,8,1,65,57
hsa:8277,81,4,32,60
hsa:83700,58,1,60,252
hsa:5575,28,10,33,48
dr:D00842,23,1,77,37
hsa:27089,79,13,70,202
hsa:10632,8,5,16,187
hsa:2549,90,1,7,11
hsa:5532,73,1,10,153
hsa:55512,71,3,53,120
hsa:5188,61,4,84,139
hsa:23028,8,1,28,164
cpd:C16510,82,1,12,90
path:hsa00480,58,4,26,174
hsa:6541,53,2,28,133
hsa:4208,1,1,0,214
cpd:C01996,23,1,86,229
hsa:23305,24,4,26,248
hsa:51806,77,1,85,56
hsa:781,88,1,75,104
hsa:3400,36,1,12,15
dr:D02271,78,1,77,37
hsa:22841,81,9,70,8
hsa:8452,3,58,49,124
hsa:201562,63,2,20,250
hsa:9170,32,1,56,239
hsa:923,1,92,84,28
hsa:64600,36,3,9,195
hsa:942,1,1,91,93
hsa:7474,56,1,13,10
hsa:6257,18,1,70,88
hsa:509,17,5,76,187
hsa:6391,55,4,60,141
hsa:917,8,1,28,163
hsa:100,8,1,30,113
hsa:10842,56,1,57,163
hsa:2495,44,17,49,235
hsa:7479,28,1,13,10
hsa:3985,71,1,0,194
hsa:3909,28,1,70,32
hsa:2746,36,4,26,174
hsa:930,71,1,15,100
hsa:5142,5,1,30,31
hsa:4322,73,1,0,181
hsa:7318,24,5,84,84
hsa:4283,53,1,74,34
hsa:2821,65,4,32,88
hsa:1969,58,1,81,52
hsa:10312,23,5,72,53
hsa:10666,5,21,72,97
hsa:84876,41,31,70,86
hsa:10580,4,59,76,160
hsa:9223,66,1,76,61
hsa:4833,79,1,63,40
path:hsa00260,53,3,9,80
hsa:10195,8,4,84,61
hsa:10344,55,1,15,34
hsa:4121,88,6,16,114
hsa:5495,78,1,50,137
hsa:54578,51,2,6,46
hsa:5579,77,1,22,177
hsa:1287,16,1,89,81
hsa:55680,44,9,49,226
hsa:5587,88,1,31,149
cpd:C06124,91,3,53,89
hsa:9771,24,1,74,167
hsa:407036,16,1,28,81
hsa:1103,69,3,1,152
hsa:3105,23,1,43,151
hsa:6259,23,1,54,212
hsa:7533,42,1,89,75
hsa:6584,42,1,47,26
hsa:776,71,1,31,228
hsa:79369,33,6,4,168
hsa:9002,4,1,86,20
hsa:10376,23,1,53,6
hsa:10555,22,3,9,99
cpd:C00427,24,3,55,7
hsa:478,78,8,57,23
hsa:91807,90,1,10,153
hsa:11283,34,3,9,70
hsa:4831,83,1,63,40
hsa:57502,24,25,49,114
hsa:10242,11,1,57,43
hsa:5781,1,1,17,122
hsa:11149,65,1,33,48
hsa:64223,90,1,39,90
hsa:407034,34,1,31,175
path:hsa00910,13,4,26,174
hsa:3725,42,1,58,230
hsa:26275,4,4,41,123
cpd:C22531,90,1,70,24
hsa:6558,36,1,77,185
cpd:C06254,77,3,24,5
hsa:5745,36,1,76,117
hsa:3284,75,2,87,45
hsa:100302238,13,1,25,149
hsa:408,23,1,65,34
cpd:C21279,27,7,60,17
hsa:4628,23,1,0,130
hsa:599,1,1,70,178
hsa:84284,9,1,37,136
hsa:4193,64,1,34,184
hsa:790,58,4,26,42
hsa:375189,17,1,25,63
hsa:3603,31,1,38,100
hsa:3667,71,1,44,172
hsa:4907,82,1,37,3
hsa:5164,79,4,84,210
hsa:9641,78,1,39,96
hsa:3398,1,1,12,15
hsa:5900,81,1,75,167
hsa:100529261,43,2,78,54
hsa:6199,26,1,0,241
hsa:2941,6,2,6,157
hsa:9370,17,4,29,153
hsa:23418,90,20,16,235
hsa:10683,78,1,69,47
hsa:123745,17,3,88,195
dr:D07907,81,1,76,53
hsa:2735,35,1,56,23
hsa:5451,65,1,65,149
hsa:23556,88,6,72,249
hsa:8898,88,1,67,108
hsa:8061,56,1,58,230
hsa:153,17,1,65,117
hsa:2879,91,3,6,132
hsa:3620,64,4,26,217
hsa:7010,1,1,81,52
hsa:10928,56,1,31,18
hsa:348,26,1,28,212
hsa:6722,11,1,47,33
hsa:927,80,1,43,93
hsa:8353,24,1,25,59
hsa:10096,77,1,31,67
hsa:27235,5,4,84,166
hsa:6548,51,1,31,92
hsa:5581,56,1,19,177
hsa:4671,14,1,38,129
hsa:50700,66,2,27,199
hsa:80319,90,1,89,102
hsa:1608,11,3,24,39
hsa:10390,38,3,9,80
hsa:10059,44,1,68,184
hsa:407055,42,1,47,187
hsa:1361,53,1,49,83
hsa:8357,78,1,25,59
hsa:55818,11,1,5,185
hsa:5408,56,3,9,138
hsa:4707,28,1,33,8
hsa:9054,13,2,76,70
hsa:2,77,1,49,221
hsa:27010,78,24,51,31
hsa:55191,29,1,2,38
hsa:6307,34,2,20,250
hsa:1610,42,4,84,83
hsa:3631,16,1,5,11
hsa:4775,6,1,75,148
hsa:100996746,19,1,28,88
hsa:5228,77,1,81,204
hsa:406884,88,1,89,14
hsa:1954,78,1,47,176
hsa:1235,78,1,15,131
hsa:284958,1,1,37,3
cpd:C13050,64,1,51,22
hsa:5272,43,1,28,211
hsa:135152,43,6,59,168
hsa:4149,43,1,58,214
hsa:197322,83,4,60,85
hsa:51805,24,4,49,124
hsa:10818,63,1,7,204
hsa:89846,16,1,22,30
hsa:586,36,4,49,123
hsa:2953,38,2,6,157
hsa:3675,2,1,73,96
hsa:653604,1,1,25,59
hsa:9489,76,3,55,76
hsa:51429,78,1,85,100
cpd:C00130,16,1,76,239
hsa:23118,80,1,0,137
hsa:55967,2,1,33,8
cpd:C00903,2,1,49,153
hsa:972,16,1,43,232
hsa:100532731,1,1,72,245
hsa:581,28,1,0,96
hsa:838,56,1,73,143
hsa:4258,13,2,6,157
hsa:3687,13,1,73,96
hsa:8881,77,1,41,71
hsa:22849,28,1,72,236
hsa:3123,26,1,43,232
hsa:522,34,5,16,187
hsa:56624,34,3,48,119
hsa:9924,77,11,28,225
hsa:3455,2,1,10,129
hsa:51024,5,5,72,52
hsa:344,39,3,60,62
hsa:2069,76,1,50,65
hsa:55627,71,3,53,120
hsa:2869,13,1,85,34
hsa:4855,91,1,69,29
hsa:2570,91,1,25,103
hsa:648,81,1,72,245
hsa:5832,77,2,41,44
hsa:653857,2,1,31,67
hsa:407029,8,1,85,175
hsa:7187,71,1,0,183
hsa:3242,71,4,26,152
hsa:4772,71,1,75,148
hsa:3988,78,2,41,62
hsa:406959,78,1,47,22
hsa:955,23,1,37,121
hsa:54776,40,1,75,115
hsa:65220,81,1,2,38
hsa:9706,73,1,31,161
hsa:1056,26,3,9,138
hsa:142680,19,30,1,35
hsa:442910,17,1,1,246
hsa:84335,18,1,31,0
hsa:5216,87,1,25,63
hsa:56954,41,4,40,42
hsa:4282,23,4,26,152
hsa:378708,29,1,16,101
hsa:10488,2,1,5,1
hsa:57105,2,1,82,189
hsa:9648,65,5,70,202
hsa:81537,78,3,48,89
hsa:85465,2,3,9,80
hsa:29119,16,1,12,74
cpd:C14701,43,2,47,24
hsa:85477,48,1,5,171
hsa:4976,34,5,72,160
hsa:551,46,1,71,146
hsa:3326,56,1,89,116
hsa:253959,53,1,34,184
hsa:574484,81,1,28,32
hsa:128239,78,1,0,234
hsa:3081,56,4,84,160
hsa:127829,24,5,28,73
hsa:1326,53,1,34,18
hsa:10950,16,11,35,225
hsa:115004,64,1,70,160
hsa:4803,53,1,50,19
hsa:910,77,1,39,12
hsa:4245,8,6,16,114
hsa:3446,64,1,91,36
hsa:5091,6,4,40,198
hsa:2322,6,1,81,50
hsa:79611,16,4,40,123
hsa:26285,2,1,11,9
hsa:26229,3,16,72,114
hsa:91653,51,1,79,224
hsa:56994,19,3,24,80
hsa:2872,19,1,74,57
hsa:5747,65,1,17,172
hsa:1594,5,49,49,72
hsa:11282,2,6,78,114
hsa:283106,1,1,73,184
hsa:51412,64,1,47,128
hsa:6361,66,1,58,106
hsa:2588,41,6,78,235
cpd:C00518,41,79,84,231
hsa:10585,42,6,16,28
hsa:7249,82,1,34,184
hsa:9110,33,1,67,108
hsa:6827,6,26,49,166
hsa:4776,1,1,75,27
hsa:4218,17,1,47,54
hsa:8091,42,1,73,54
hsa:5494,77,1,15,141
hsa:3766,8,1,82,48
hsa:8854,91,2,90,132
hsa:329,39,1,39,101
cpd:C03917,39,1,28,176
hsa:1080,36,4,80,23
hsa:27134,42,1,11,9
hsa:4832,9,1,63,40
hsa:2316,8,1,75,56
hsa:79587,27,2,84,33
hsa:64398,78,1,47,122
hsa:3683,35,1,39,200
hsa:8352,53,1,25,59
hsa:203228,56,1,28,147
hsa:91782,25,28,49,2
hsa:8600,27,1,38,220
hsa:114112,16,7,41,144
hsa:1128,12,1,86,247
hsa:2162,54,1,82,146
hsa:340665,90,2,6,132
hsa:23417,41,4,80,134
hsa:3728,1,1,70,243
hsa:6249,90,1,3,90
hsa:8649,23,1,16,116
hsa:56919,58,1,72,184
hsa:2353,23,1,58,15
hsa:341392,71,4,41,123
hsa:387712,1,4,84,171
hsa:6348,5,1,58,78
hsa:10616,5,1,38,251
hsa:160287,23,3,41,115
hsa:27087,48,6,59,168
hsa:4249,81,6,16,114
hsa:2887,6,1,3,110
hsa:4801,91,1,43,164
hsa:4794,91,1,46,24
hsa:3127,17,1,43,232
hsa:285,6,1,0,204
hsa:406979,71,1,12,173
hsa:8650,17,1,69,47
hsa:2066,80,1,81,52
hsa:51181,23,3,20,109
hsa:107987479,77,2,27,158
hsa:103910,78,1,75,56
hsa:240,51,3,9,70
hsa:3615,76,1,30,31
cpd:C14769,28,1,51,22
hsa:1376,23,4,41,123
hsa:3604,23,83,1,114
hsa:51,6,4,40,123
hsa:7535,23,1,39,172
hsa:283208,91,4,41,83
hsa:774,91,1,19,30
hsa:731,82,1,68,101
hsa:6504,10,1,12,87
hsa:5027,33,1,76,209
hsa:7850,28,1,39,94
hsa:6809,73,13,70,37
hsa:1179,31,1,25,208
hsa:8529,90,3,9,70
cpd:C03262,2,1,70,156
hsa:247,2,3,9,70
hsa:643,68,1,15,131
hsa:4842,53,1,75,241
hsa:406938,68,1,3,115
hsa:3560,24,1,46,96
hsa:5519,82,1,58,241
hsa:1487,48,1,89,64
hsa:8310,80,4,40,123
hsa:10498,2,1,74,218
hsa:5571,85,4,22,105
hsa:5158,8,1,8,136
hsa:4313,61,1,0,165
hsa:658,17,1,73,135
hsa:1785,4,1,29,93
hsa:256435,58,6,78,114
hsa:4939,23,1,38,77
hsa:883,76,7,41,139
hsa:50487,71,3,9,195
hsa:81029,63,1,13,10
hsa:1946,88,1,50,19
hsa:377841,41,1,63,136
hsa:2556,1,1,25,103
hsa:6616,62,13,70,188
hsa:7166,34,4,26,109
hsa:952,28,1,2,22
hsa:9791,77,3,24,80
hsa:5529,43,1,74,83
hsa:41,17,5,45,187
hsa:26330,56,4,32,60
hsa:8431,77,1,70,145
hsa:53343,28,4,32,60
hsa:10411,2,1,19,136
hsa:3122,82,1,43,232
hsa:3106,50,1,43,151
hsa:2535,78,1,18,237
hsa:2150,88,1,82,20
hsa:30061,81,57,76,93
path:hsa00051,1,4,84,113
hsa:406892,16,1,47,187
hsa:23162,20,1,58,217
hsa:5818,73,21,72,166
hsa:5509,78,4,15,130
hsa:140465,90,1,46,208
hsa:23216,55,4,80,134
hsa:26528,77,11,42,203
hsa:389541,71,5,16,223
hsa:1535,16,1,3,127
hsa:529,8,5,16,95
hsa:4821,58,1,28,52
hsa:27086,81,1,72,52
hsa:51020,58,1,37,31
hsa:55799,11,1,75,104
hsa:399694,53,1,7,155
hsa:7096,90,1,47,178
hsa:8565,16,4,41,238
hsa:8626,81,1,28,61
hsa:1211,51,22,72,152
hsa:2736,44,1,5,23
hsa:4043,1,1,28,212
hsa:71,76,1,10,246
hsa:1281,16,1,58,140
hsa:6790,23,1,16,161
hsa:6598,90,1,47,128
hsa:142827,6,4,41,123
hsa:343637,55,1,79,82
hsa:701,61,1,89,12
hsa:55072,65,1,38,251
hsa:4128,90,2,36,109
hsa:10651,63,5,16,84
hsa:6300,68,1,52,41
hsa:7186,55,1,39,183
hsa:2912,60,1,56,4
hsa:23439,86,8,57,23
hsa:22953,23,1,76,209
hsa:3043,28,54,28,249
path:hsa00670,42,3,26,17
hsa:29108,71,1,38,220
cpd:C00704,6,1,3,246
hsa:59067,31,1,3,51
hsa:6373,23,1,91,34
hsa:200576,78,1,67,108
hsa:2852,61,4,29,117
hsa:149461,81,1,11,9
hsa:5564,90,4,22,105
hsa:5166,65,4,84,210
hsa:118142757,79,1,51,107
hsa:9454,80,1,56,100
hsa:7314,40,5,84,35
hsa:3355,71,1,71,30
hsa:148789,90,6,16,28
hsa:1643,42,1,38,66
hsa:7357,91,3,48,120
hsa:38,65,4,40,123
hsa:111,16,1,19,111
hsa:54205,76,1,83,24
hsa:5962,77,1,29,140
hsa:5161,42,4,40,135
hsa:5217,16,1,25,63
cpd:C00965,6,1,47,183
hsa:2525,76,6,4,168
hsa:983,2,1,38,243
hsa:5024,36,1,72,209
hsa:3691,36,1,39,246
hsa:406949,83,1,38,18
hsa:28984,5,1,34,184
cpd:C05966,16,5,47,21
hsa:8131,1,1,49,101
hsa:570,77,2,36,44
hsa:7172,34,1,2,113
hsa:8566,78,2,60,250
hsa:7035,90,1,49,156
hsa:2909,8,1,3,96
hsa:4938,51,1,38,77
hsa:64377,56,6,16,86
cpd:C00665,78,4,42,88
hsa:8803,51,4,59,134
hsa:672,82,1,12,133
hsa:3805,66,1,43,49
hsa:6383,66,1,73,22
cpd:C00043,2,1,25,56
hsa:29785,23,2,6,158
hsa:5577,6,10,33,48
hsa:25945,77,21,72,166
hsa:6850,17,1,0,172
hsa:115653,56,1,43,91
hsa:6688,80,1,70,141
hsa:5319,1,3,9,195
hsa:9868,83,5,84,35
hsa:347688,53,1,53,178
hsa:1437,9,1,0,78
hsa:593,5,3,26,55
hsa:84513,6,3,9,137
hsa:900,71,1,28,66
hsa:905,71,26,70,166
path:hsa00280,12,4,40,123
hsa:4217,8,1,74,129
hsa:5604,78,1,46,57
hsa:55276,9,4,41,107
hsa:284217,1,1,69,32
hsa:727897,48,1,0,181
hsa:9560,48,1,58,106
hsa:93432,27,4,43,27
hsa:29761,23,1,12,243
cpd:C01227,71,1,76,176
hsa:3134,82,1,43,151
hsa:79602,72,4,29,107
path:hsa00511,72,6,78,168
hsa:8463,51,1,66,194
hsa:55301,56,4,41,134
hsa:288,23,1,65,219
hsa:4597,16,2,16,54
hsa:3053,65,1,49,76
hsa:3759,61,1,33,48
hsa:353514,16,1,47,29
hsa:29796,66,13,70,202
hsa:5805,48,24,60,69
hsa:3059,17,1,65,0
hsa:729230,1,1,15,131
hsa:3635,1,1,85,11
hsa:64132,78,16,72,2
hsa:9586,8,1,5,1
hsa:54583,28,1,25,149
cpd:C21641,10,2,20,143
cpd:C04805,78,5,49,21
hsa:1562,9,2,6,250
hsa:1364,81,1,11,9
hsa:353500,79,4,33,134
hsa:11211,1,1,18,237
hsa:10159,72,1,28,32
hsa:9618,76,1,0,94
hsa:8837,88,1,58,94
hsa:6775,3,1,0,186
hsa:5130,3,3,5,135
hsa:1511,81,1,28,211
cpd:C03990,28,1,28,145
hsa:83692,1,15,69,205
hsa:1515,11,1,68,98
hsa:1394,77,1,77,111
hsa:6195,78,1,74,135
hsa:90,65,1,79,135
hsa:10476,11,5,72,187
hsa:9314,2,1,12,206
hsa:57171,28,2,72,205
hsa:9459,79,1,74,18
hsa:51703,90,4,26,248
hsa:5269,78,1,28,211
hsa:3117,53,1,43,232
hsa:9436,8,1,3,100
hsa:117283,19,1,49,154
hsa:3918,71,1,28,32
hsa:2949,82,2,6,157
hsa:2023,73,4,84,171
hsa:23463,5,2,16,54
hsa:4352,71,78,49,2
hsa:64577,51,56,72,124
hsa:133,88,1,47,17
path:hsa00601,2,6,4,235
hsa:406947,2,1,3,100
hsa:443,17,4,26,42
hsa:10010,2,1,68,129
hsa:4988,64,1,64,30
hsa:22802,77,1,25,208
hsa:2122,55,1,12,73
hsa:7185,90,1,58,94
hsa:23408,6,1,2,38
hsa:1272,63,68,72,28
hsa:51727,23,2,51,38
hsa:10314,53,2,90,44
hsa:8973,57,1,86,186
hsa:3990,59,3,9,138
hsa:7317,16,5,84,84
hsa:2880,42,2,6,144
hsa:83756,53,60,49,124
hsa:834,88,1,12,137
hsa:10325,6,1,70,90
hsa:35,76,4,40,123
hsa:2147,90,1,33,146
hsa:5137,4,1,8,136
hsa:2992,90,4,2,38
hsa:4920,18,1,54,212
hsa:27040,55,1,74,220
hsa:6337,8,8,72,54
hsa:5236,34,4,41,107
hsa:3823,19,1,43,49
cpd:C14771,72,1,51,22
hsa:2554,73,1,25,103
hsa:4254,81,1,50,65
hsa:411,2,2,84,205
hsa:6583,71,1,47,26
hsa:9019,78,19,84,124
hsa:5140,78,1,88,242
hsa:27231,86,1,2,38
hsa:479,6,5,72,187
hsa:83439,42,1,73,200
hsa:996,5,1,41,71
hsa:283209,64,4,30,107
hsa:4048,90,3,55,55
hsa:1742,63,1,31,22
hsa:4713,56,1,33,8
hsa:3776,82,1,71,43
hsa:80854,8,1,83,25
hsa:3679,61,1,73,96
hsa:339745,61,58,49,28
path:hsa00750,83,4,40,60
hsa:22987,42,1,69,141
hsa:8408,3,1,65,161
hsa:5222,44,51,28,86
hsa:8350,16,1,25,59
hsa:15,55,4,53,109
hsa:54675,58,3,55,76
hsa:23432,23,1,29,48
hsa:54938,65,7,20,55
hsa:284486,90,2,84,190
hsa:7060,55,1,89,221
hsa:1593,59,2,53,250
hsa:55811,28,1,19,30
hsa:407024,71,1,89,187
hsa:406981,71,1,47,173
hsa:10319,13,1,28,32
hsa:5209,23,4,80,134
hsa:1902,1,1,56,4
hsa:2534,1,1,39,183
hsa:2893,53,1,31,185
hsa:1798,42,2,49,205
hsa:6121,42,2,6,62
hsa:1234,77,1,15,131
hsa:7469,8,26,49,166
hsa:2161,42,1,70,210
hsa:6317,44,1,28,211
hsa:6041,14,1,76,24
hsa:100137049,65,3,88,195
hsa:3397,77,1,12,15
hsa:2626,53,1,50,182
hsa:10654,10,2,49,167
hsa:3937,71,1,74,180
hsa:7350,78,4,65,191
hsa:10288,73,1,12,29
hsa:7122,6,1,11,9
hsa:6770,55,1,5,191
hsa:886,41,1,33,189
hsa:1962,77,4,40,123
hsa:2778,54,1,64,40
hsa:23220,15,1,21,47
cpd:C00027,23,1,74,220
cpd:C00388,77,1,82,229
hsa:5167,71,1,63,136
hsa:6343,53,1,28,17
hsa:7450,53,1,39,93
hsa:1378,0,1,38,171
hsa:124540,24,11,43,225
hsa:3111,78,1,43,232
hsa:29929,90,2,76,205
hsa:406912,53,1,12,18
hsa:3676,42,1,73,96
hsa:30845,5,9,49,226
hsa:3934,8,1,0,181
hsa:10797,63,7,26,139
hsa:54657,61,2,6,46
hsa:9075,76,1,11,9
hsa:81616,7,4,26,248
hsa:1455,90,1,5,185
hsa:6547,1,8,77,23
hsa:2793,78,1,64,13
hsa:2978,78,1,51,107
hsa:116442,70,1,3,54
hsa:2224,42,2,78,14
hsa:28,25,6,4,168
hsa:9368,78,4,47,22
hsa:391,42,50,49,2
hsa:106821730,78,1,74,227
hsa:409,16,1,65,34
hsa:1131,60,1,86,20
hsa:407045,17,1,25,246
hsa:1258,48,1,85,130
hsa:3441,42,1,91,36
hsa:1956,23,1,81,172
hsa:7295,55,2,1,24
hsa:7709,77,1,12,221
hsa:146850,1,1,19,105
hsa:5298,44,1,67,61
hsa:3707,75,1,22,39
hsa:5270,71,1,70,221
hsa:1524,19,1,15,131
hsa:6794,50,4,39,98
hsa:7841,34,45,28,249
hsa:920,19,1,43,169
hsa:2182,24,4,26,248
hsa:112,17,1,19,111
hsa:5414,77,1,12,90
hsa:4338,7,4,16,145
hsa:63924,11,1,28,176
hsa:3000,3,1,62,121
hsa:223,5,2,90,150
hsa:6424,44,1,13,68
hsa:94274,85,1,65,130
hsa:10092,1,1,31,67
hsa:8356,82,1,25,59
hsa:221178,77,1,89,234
hsa:6774,2,1,0,169
hsa:3108,27,1,43,232
hsa:7277,17,1,53,6
hsa:2548,12,4,43,177
hsa:4137,2,1,75,135
hsa:83593,77,1,74,167
hsa:7059,58,1,69,221
hsa:9051,8,1,28,57
hsa:3930,90,2,84,72
hsa:1537,77,13,70,202
hsa:9306,77,1,29,186
hsa:5260,6,4,75,207
hsa:9770,5,1,28,16
path:hsa00520,5,4,53,105
hsa:27102,35,1,38,164
cpd:C13051,16,1,51,136
hsa:3914,16,1,28,32
hsa:51552,65,4,47,85
hsa:81027,16,1,53,178
hsa:139341,19,5,3,96
hsa:7538,78,1,3,87
hsa:2697,77,1,29,57
hsa:4697,59,1,33,8
hsa:1141,17,1,86,186
hsa:84962,24,1,69,142
hsa:4170,71,1,84,81
hsa:9945,42,4,40,15
hsa:574473,67,1,49,32
